0,1e+20,1.3036387952178918e+27
0,1.2898902612533133e+20,1.5187592447657483e+27
0,1.6638168860761273e+20,1.7693778767729004e+27
0,2.1461411978584103e+20,2.0613524372628709e+27
0,2.768286630392061e+20,2.4015072904378458e+27
0,3.57078596490047e+20,2.7977929255436166e+27
0,4.605922041145094e+20,3.2594717848200764e+27
0,5.941133984965039e+20,3.797334755921556e+27
0,7.663410868007431e+20,4.423953388915662e+27
0,9.884959046625586e+20,5.153973732965975e+27
0,1.2750512407130181e+21,6.004458660585954e+27
0,1.6446761779946628e+21,6.995286680659437e+27
0,2.1214517849106363e+21,8.14961656174285e+27
0,2.736439997074666e+21,9.494428625357215e+27
0,3.529707302730657e+21,1.106115536099836e+28
0,4.552935074866938e+21,1.2886416102321158e+28
0,5.872786613189489e+21,1.5012872936193402e+28
0,7.575250258771889e+21,1.7490227849905425e+28
0,9.771241535346502e+21,2.037638442300528e+28
0,1.2603829296797223e+22,2.3738801216150837e+28
0,1.6257556664437933e+22,2.765606848993739e+28
0,2.0970464013232393e+22,3.2219745106578165e+28
0,2.7049597304631315e+22,3.753649854861249e+28
0,3.489101213406781e+22,4.373059807361193e+28
0,4.5005576757004886e+22,5.0946819277752565e+28
0,5.805225516094908e+22,5.935382795704836e+28
0,7.4881038575899995e+22,6.914812235772385e+28
0,9.658832241158708e+22,8.055862595852955e+28
0,1.2458833642950133e+23,9.385203813276604e+28
0,1.6070528182616383e+23,1.0933906775183164e+29
0,2.0729217795953783e+23,1.2738169542922156e+29
0,2.673841615839944e+23,1.4840163414646515e+29
0,3.448962260405767e+23,1.7289018601246593e+29
0,4.448782831127576e+23,2.0141972553970635e+29
0,5.7384416483024045e+23,2.3465707783763747e+29
0,7.401959996915622e+23,2.7337910441370295e+29
0,9.547716114208067e+23,3.184908608712398e+29
0,1.2315506032928211e+24,3.710467509067546e+29
0,1.5885651294280528e+24,4.3227517104209694e+29
0,2.0490746898158543e+24,5.0360722211642064e+29
0,2.643081486974103e+24,5.867101586158829e+29
0,3.4092850697468215e+24,6.835263576571575e+29
0,4.3976036093027124e+24,7.963187184524921e+29
0,5.672426068491989e+24,9.277235533847335e+29
0,7.316807143427177e+24,1.0808122069230741e+30
0,9.43787827777539e+24,1.2591628426075866e+30
0,1.217382727739667e+25,1.466944075990126e+30
0,1.5702901247293776e+25,1.7090124082967026e+30
0,2.0255019392306583e+25,1.9910257381425597e+30
0,2.6126752255633264e+25,2.3195756044258748e+30
0,3.3700643292719386e+25,2.702341251332642e+30
0,4.347013158125018e+25,3.148269116436727e+30
0,5.607169938205469e+25,3.6677819370967657e+30
0,7.232633896483578e+25,4.273022362624212e+30
0,9.329304026284696e+25,4.9781367662056843e+30
0,1.2033778407775855e+26,5.799605890157193e+30
0,1.552225357427048e+26,6.756630052730144e+30
0,2.0022003718155926e+26,7.87157791996428e+30
0,2.5826187606826747e+26,9.17050933179804e+30
0,3.331294787934684e+26,1.0683784402527642e+31
0,4.297004704320835e+26,1.2446773132208631e+31
0,5.5426645206631184e+26,1.450068211485238e+31
0,7.149428986597563e+26,1.6893517666187843e+31
0,9.221978823334341e+26,1.9681207882316742e+31
0,1.1895340673703256e+27,2.292890985530164e+31
0,1.5343684089300132e+27,2.6712532599430063e+31
0,1.9791668678535493e+27,3.112051128373311e+31
0,2.5529080682395166e+27,3.625587424015453e+31
0,3.2929712550971614e+27,4.223865105985557e+31
0,4.2475715525368943e+27,4.920867806244424e+31
0,5.478901179593956e+27,5.732886671077258e+31
0,7.067181273927534e+27,6.678901136443736e+31
0,9.115888299750837e+27,7.781022537116899e+31
0,1.1758495540521533e+28,9.065010918152124e+31
0,1.5167168884709241e+28,1.0560877128196277e+32
0,1.9563983435170729e+28,1.2303584267452237e+32
0,2.5235391704347657e+28,1.4333864885345162e+32
0,3.2550885998350432e+28,1.669917302837124e+32
0,4.19870708444394e+28,1.945479339048263e+32
0,5.415871378079487e+28,2.2665133490342607e+32
0,6.985879746785235e+28,2.6405229077701662e+32
0,9.011018251665037e+28,3.076249795497522e+32
0,1.162322468679859e+29,3.5838783206353615e+32
0,1.499268432786047e+29,4.1752733591137996e+32
0,1.9338917504552242e+29,4.8642576738584336e+32
0,2.4945081352303164e+29,5.6669349962544276e+32
0,3.217641750250749e+29,6.60206642102073e+32
0,4.150404757850473e+29,7.691508912027113e+32
0,5.353566677410741e+29,8.960726168314784e+32
0,6.905513520162373e+29,1.0439383790866536e+33
0,8.907354638610458e+29,1.2162042661047203e+33
0,1.1489510001873062e+30,1.4168966737150123e+33
0,1.48202070579886e+30,1.6507064149796478e+33
0,1.9116440753857114e+30,1.923098359254826e+33
0,2.465811075822604e+30,2.240439163383383e+33
0,3.180625692794106e+30,2.610146080498476e+33
0,4.10265810582719e+30,3.040860324568329e+33
0,5.291978735958459e+30,3.5426490427569773e+33
0,6.826071834272379e+30,4.127240616330669e+33
0,8.804883581643483e+30,4.8082987898325003e+33
0,1.1357333583431122e+31,5.601742035786451e+33
0,1.4649713983072878e+31,6.526115619489175e+33
0,1.8896523396912038e+31,7.60302506021436e+33
0,2.4374441501222216e+31,8.857641120181769e+33
0,3.144035471591513e+31,1.031928812447225e+34
0,4.0554607358408275e+31,1.2022129362776466e+34
0,5.231099308056279e+31,1.4005965592972958e+34
0,6.747544053110741e+31,1.631716531007601e+34
0,8.703591361485183e+31,1.900974852386678e+34
0,1.1226677735108114e+32,2.2146649376500796e+34
0,1.448118227674524e+32,2.580118711143768e+34
0,1.8679135990207924e+32,3.0058779774866614e+34
